no_install_date,install_date,count_bike,sum_bike_end,percentage_end
,2011-02-08,4476,5560,1.2421805183199286
,2018-12-13,2392,2671,1.116638795986622
,2013-10-08,4945,6315,1.2770475227502527
,2011-12-22,2958,3384,1.1440162271805274
,2012-01-12,6491,9263,1.4270528423971653
,2012-01-25,2458,2761,1.1232709519934907
,2018-06-22,3175,3679,1.1587401574803149
,2010-09-15,3923,4688,1.1950038236043845
,2010-10-25,4479,5596,1.2493860236659968
,2013-09-26,4737,6060,1.2792906903103229
,2013-11-03,531,542,1.0207156308851224
,2016-04-27,471,480,1.0191082802547771
,2016-06-03,1733,1871,1.0796306982111945
,2012-02-27,3778,4534,1.2001058761249339
,2013-10-22,3347,3882,1.1598446369883477
,2010-06-19,2440,2701,1.1069672131147541
,2018-10-31,330,335,1.0151515151515151
,2011-01-10,3469,4092,1.1795906601326032
,2013-08-23,1447,1527,1.055286800276434
,2016-06-01,1808,1965,1.0868362831858407
,2012-02-24,4721,6721,1.4236390595212878
,2014-03-06,1314,1393,1.0601217656012176
,2013-10-25,1368,1463,1.0694444444444444
,2014-03-04,1465,1565,1.0682593856655289
,2010-10-21,1671,1803,1.0789946140035906
,2014-01-15,989,1035,1.0465116279069768
,2010-12-06,1110,1147,1.0333333333333334
,2010-10-26,2520,2814,1.1166666666666667
,2015-08-13,1756,1896,1.0797266514806378
,2013-10-21,4189,5155,1.2306039627596086
,2014-05-09,2399,2669,1.1125468945393915
,2016-03-24,1512,1604,1.0608465608465609
,2013-11-19,2273,2564,1.1280246370435547
,2014-03-05,682,697,1.0219941348973607
,2016-09-01,514,528,1.027237354085603
,2022-04-19,123,124,1.0081300813008129
,2013-11-05,3570,4235,1.1862745098039216
,2014-02-26,255,258,1.0117647058823529
,2019-07-24,1051,1096,1.0428163653663178
,2013-09-27,3463,4108,1.1862546924631823
,2013-10-01,1329,1405,1.0571858540255832
,2016-07-26,1276,1376,1.0783699059561129
,2013-10-11,1422,1538,1.0815752461322081
,2013-10-24,3228,3743,1.1595415117719949
,2016-02-29,1853,2033,1.0971397733405288
,2017-02-17,29,29,1
,2016-07-20,213,214,1.0046948356807512
,2014-01-20,1148,1203,1.0479094076655053
,2016-03-01,776,805,1.0373711340206186
,2016-12-15,351,358,1.01994301994302
